condition,question_id,seed,rollout_i,rollout_j,d1,dT
naive_k4,gaia-12,1,0,3,0.000000,0.166667
naive_k4,gaia-12,1,1,2,0.571429,0.400000
naive_k4,gaia-12,1,1,3,0.571429,0.500000
naive_k4,gaia-12,1,2,3,0.000000,0.181818
naive_k4,gaia-120,1,0,1,0.333333,0.555556
naive_k4,gaia-121,1,0,1,0.000000,0.900000
naive_k4,gaia-121,1,0,2,0.000000,0.909091
naive_k4,gaia-121,1,0,3,0.153846,0.250000
naive_k4,gaia-121,1,1,2,0.000000,0.714286
naive_k4,gaia-121,1,1,3,0.153846,0.777778
naive_k4,gaia-121,1,2,3,0.153846,0.800000
naive_k4,gaia-122,1,0,1,0.500000,0.875000
naive_k4,gaia-122,1,0,2,0.500000,0.500000
naive_k4,gaia-122,1,0,3,0.000000,0.000000
naive_k4,gaia-122,1,1,2,0.000000,0.571429
naive_k4,gaia-122,1,1,3,0.500000,0.875000
naive_k4,gaia-122,1,2,3,0.500000,0.500000
naive_k4,gaia-123,1,0,1,0.428571,0.363636
naive_k4,gaia-123,1,0,2,0.625000,0.333333
naive_k4,gaia-123,1,0,3,0.000000,0.300000
naive_k4,gaia-123,1,1,2,0.333333,0.333333
naive_k4,gaia-123,1,1,3,0.428571,0.583333
naive_k4,gaia-123,1,2,3,0.625000,0.600000
naive_k4,gaia-124,1,1,2,0.714286,0.500000
naive_k4,gaia-124,1,1,3,0.571429,0.727273
naive_k4,gaia-124,1,2,3,0.200000,0.500000
naive_k4,gaia-125,1,0,1,0.642857,1.000000
naive_k4,gaia-125,1,0,2,0.444444,0.944444
naive_k4,gaia-125,1,0,3,0.333333,0.500000
naive_k4,gaia-125,1,1,2,0.785714,0.857143
naive_k4,gaia-125,1,1,3,0.466667,0.941176
naive_k4,gaia-125,1,2,3,0.615385,0.900000
naive_k4,gaia-127,1,0,1,0.428571,0.142857
naive_k4,gaia-127,1,0,2,0.428571,0.500000
naive_k4,gaia-127,1,0,3,0.428571,0.555556
naive_k4,gaia-127,1,1,2,0.666667,0.400000
naive_k4,gaia-127,1,1,3,0.000000,0.444444
naive_k4,gaia-127,1,2,3,0.666667,0.400000
naive_k4,gaia-128,1,0,1,0.000000,0.222222
naive_k4,gaia-128,1,0,2,0.000000,0.125000
naive_k4,gaia-128,1,0,3,0.214286,0.636364
naive_k4,gaia-128,1,1,2,0.000000,0.300000
naive_k4,gaia-128,1,1,3,0.214286,0.692308
naive_k4,gaia-128,1,2,3,0.214286,0.545455
naive_k4,gaia-13,1,0,1,0.600000,0.700000
naive_k4,gaia-13,1,0,3,0.000000,0.500000
naive_k4,gaia-13,1,1,3,0.600000,0.727273
naive_k4,gaia-130,1,0,1,0.750000,0.500000
naive_k4,gaia-130,1,0,2,0.666667,0.571429
naive_k4,gaia-130,1,0,3,0.000000,0.500000
naive_k4,gaia-130,1,1,2,0.333333,0.200000
naive_k4,gaia-130,1,1,3,0.750000,0.000000
naive_k4,gaia-130,1,2,3,0.666667,0.200000
naive_k4,gaia-134,1,0,1,0.000000,0.230769
naive_k4,gaia-134,1,0,2,0.076923,0.428571
naive_k4,gaia-134,1,0,3,0.076923,0.428571
naive_k4,gaia-134,1,1,2,0.076923,0.384615
naive_k4,gaia-134,1,1,3,0.076923,0.384615
naive_k4,gaia-134,1,2,3,0.000000,0.000000
naive_k4,gaia-136,1,0,1,0.000000,0.000000
naive_k4,gaia-136,1,0,2,0.000000,0.000000
naive_k4,gaia-136,1,0,3,0.714286,0.200000
naive_k4,gaia-136,1,1,2,0.000000,0.000000
naive_k4,gaia-136,1,1,3,0.714286,0.200000
naive_k4,gaia-136,1,2,3,0.714286,0.200000
naive_k4,gaia-138,1,0,3,0.000000,0.100000
naive_k4,gaia-139,1,0,1,0.333333,0.400000
naive_k4,gaia-139,1,0,2,0.333333,0.500000
naive_k4,gaia-139,1,0,3,0.000000,0.333333
naive_k4,gaia-139,1,1,2,0.000000,0.500000
naive_k4,gaia-139,1,1,3,0.333333,0.500000
naive_k4,gaia-139,1,2,3,0.333333,0.583333
naive_k4,gaia-141,1,0,1,0.000000,0.000000
naive_k4,gaia-141,1,0,2,0.000000,0.000000
naive_k4,gaia-141,1,0,3,0.000000,0.000000
naive_k4,gaia-141,1,1,2,0.000000,0.000000
naive_k4,gaia-141,1,1,3,0.000000,0.000000
naive_k4,gaia-141,1,2,3,0.000000,0.000000
naive_k4,gaia-145,1,0,1,0.375000,0.809524
naive_k4,gaia-145,1,0,2,0.000000,0.904762
naive_k4,gaia-145,1,0,3,0.000000,0.842105
naive_k4,gaia-145,1,1,2,0.375000,0.500000
naive_k4,gaia-145,1,1,3,0.375000,0.625000
naive_k4,gaia-145,1,2,3,0.000000,0.500000
naive_k4,gaia-147,1,0,1,0.000000,0.222222
naive_k4,gaia-15,1,0,1,0.000000,0.666667
naive_k4,gaia-15,1,0,2,0.000000,0.714286
naive_k4,gaia-15,1,0,3,0.000000,0.571429
naive_k4,gaia-15,1,1,2,0.000000,0.500000
naive_k4,gaia-15,1,1,3,0.000000,0.888889
naive_k4,gaia-15,1,2,3,0.000000,0.833333
naive_k4,gaia-150,1,0,1,0.000000,0.200000
naive_k4,gaia-150,1,0,3,0.000000,0.200000
naive_k4,gaia-150,1,1,3,0.000000,0.000000
naive_k4,gaia-151,1,0,1,0.250000,0.625000
naive_k4,gaia-151,1,0,2,0.000000,0.625000
naive_k4,gaia-151,1,0,3,0.250000,0.625000
naive_k4,gaia-151,1,1,2,0.250000,0.000000
naive_k4,gaia-151,1,1,3,0.000000,0.000000
naive_k4,gaia-151,1,2,3,0.250000,0.000000
naive_k4,gaia-153,1,0,1,0.714286,0.500000
naive_k4,gaia-153,1,0,3,0.714286,0.625000
naive_k4,gaia-153,1,1,3,0.000000,0.625000
naive_k4,gaia-155,1,1,2,0.000000,0.181818
naive_k4,gaia-155,1,1,3,0.571429,0.600000
naive_k4,gaia-155,1,2,3,0.571429,0.500000
naive_k4,gaia-16,1,0,1,0.000000,0.076923
naive_k4,gaia-16,1,0,2,0.000000,0.214286
naive_k4,gaia-16,1,0,3,0.000000,0.000000
naive_k4,gaia-16,1,1,2,0.000000,0.142857
naive_k4,gaia-16,1,1,3,0.000000,0.076923
naive_k4,gaia-16,1,2,3,0.000000,0.214286
naive_k4,gaia-19,1,0,1,0.000000,0.600000
naive_k4,gaia-19,1,0,2,0.000000,0.000000
naive_k4,gaia-19,1,0,3,0.000000,0.600000
naive_k4,gaia-19,1,1,2,0.000000,0.600000
naive_k4,gaia-19,1,1,3,0.000000,0.000000
naive_k4,gaia-19,1,2,3,0.000000,0.600000
naive_k4,gaia-2,1,0,1,0.000000,0.000000
naive_k4,gaia-2,1,0,2,0.000000,0.666667
naive_k4,gaia-2,1,0,3,0.000000,0.444444
naive_k4,gaia-2,1,1,2,0.000000,0.666667
naive_k4,gaia-2,1,1,3,0.000000,0.444444
naive_k4,gaia-2,1,2,3,0.000000,0.285714
naive_k4,gaia-23,1,0,1,0.000000,0.000000
naive_k4,gaia-23,1,0,2,0.333333,0.400000
naive_k4,gaia-23,1,0,3,0.333333,0.000000
naive_k4,gaia-23,1,1,2,0.333333,0.400000
naive_k4,gaia-23,1,1,3,0.333333,0.000000
naive_k4,gaia-23,1,2,3,0.000000,0.400000
naive_k4,gaia-24,1,0,1,0.000000,0.904762
naive_k4,gaia-24,1,0,2,0.166667,0.809524
naive_k4,gaia-24,1,0,3,0.166667,0.826087
naive_k4,gaia-24,1,1,2,0.166667,0.666667
naive_k4,gaia-24,1,1,3,0.166667,0.750000
naive_k4,gaia-24,1,2,3,0.000000,0.666667
naive_k4,gaia-26,1,0,1,0.250000,0.555556
naive_k4,gaia-26,1,0,2,0.000000,0.700000
naive_k4,gaia-26,1,0,3,0.571429,0.727273
naive_k4,gaia-26,1,1,2,0.250000,0.250000
naive_k4,gaia-26,1,1,3,0.571429,0.500000
naive_k4,gaia-26,1,2,3,0.571429,0.333333
naive_k4,gaia-32,1,0,1,0.000000,0.153846
naive_k4,gaia-32,1,0,2,0.000000,0.166667
naive_k4,gaia-32,1,0,3,0.000000,0.153846
naive_k4,gaia-32,1,1,2,0.000000,0.166667
naive_k4,gaia-32,1,1,3,0.000000,0.000000
naive_k4,gaia-32,1,2,3,0.000000,0.166667
naive_k4,gaia-35,1,0,1,0.533333,0.250000
naive_k4,gaia-35,1,0,2,0.000000,0.090909
naive_k4,gaia-35,1,0,3,0.153846,0.181818
naive_k4,gaia-35,1,1,2,0.533333,0.333333
naive_k4,gaia-35,1,1,3,0.625000,0.416667
naive_k4,gaia-35,1,2,3,0.153846,0.100000
naive_k4,gaia-38,1,0,1,0.333333,0.500000
naive_k4,gaia-38,1,0,2,0.333333,0.647059
naive_k4,gaia-38,1,0,3,0.357143,0.500000
naive_k4,gaia-38,1,1,2,0.000000,0.461538
naive_k4,gaia-38,1,1,3,0.384615,0.615385
naive_k4,gaia-38,1,2,3,0.384615,0.461538
naive_k4,gaia-39,1,0,1,0.833333,0.600000
naive_k4,gaia-39,1,0,2,0.666667,0.400000
naive_k4,gaia-39,1,0,3,0.000000,0.714286
naive_k4,gaia-39,1,1,2,0.833333,0.833333
naive_k4,gaia-39,1,1,3,0.833333,0.400000
naive_k4,gaia-39,1,2,3,0.666667,0.875000
naive_k4,gaia-4,1,0,1,0.000000,0.250000
naive_k4,gaia-4,1,0,2,1.000000,1.000000
naive_k4,gaia-4,1,0,3,0.000000,0.250000
naive_k4,gaia-4,1,1,2,1.000000,1.000000
naive_k4,gaia-4,1,1,3,0.000000,0.000000
naive_k4,gaia-4,1,2,3,1.000000,1.000000
naive_k4,gaia-40,1,0,1,0.000000,0.875000
naive_k4,gaia-40,1,0,2,0.888889,0.900000
naive_k4,gaia-40,1,0,3,0.000000,1.000000
naive_k4,gaia-40,1,1,2,0.888889,1.000000
naive_k4,gaia-40,1,1,3,0.000000,0.888889
naive_k4,gaia-40,1,2,3,0.888889,0.909091
naive_k4,gaia-41,1,0,1,0.000000,0.615385
naive_k4,gaia-41,1,0,2,0.000000,0.909091
naive_k4,gaia-41,1,0,3,0.000000,0.615385
naive_k4,gaia-41,1,1,2,0.000000,1.000000
naive_k4,gaia-41,1,1,3,0.000000,0.000000
naive_k4,gaia-41,1,2,3,0.000000,1.000000
naive_k4,gaia-42,1,0,1,0.000000,0.750000
naive_k4,gaia-43,1,1,2,0.000000,0.416667
naive_k4,gaia-43,1,1,3,0.090909,0.416667
naive_k4,gaia-43,1,2,3,0.090909,0.000000
naive_k4,gaia-44,1,0,2,0.000000,0.100000
naive_k4,gaia-46,1,0,1,0.000000,0.300000
naive_k4,gaia-46,1,0,2,0.000000,0.300000
naive_k4,gaia-46,1,0,3,0.000000,0.400000
naive_k4,gaia-46,1,1,2,0.000000,0.000000
naive_k4,gaia-46,1,1,3,0.000000,0.125000
naive_k4,gaia-46,1,2,3,0.000000,0.125000
naive_k4,gaia-49,1,0,1,0.000000,0.777778
naive_k4,gaia-50,1,0,3,0.428571,0.571429
naive_k4,gaia-52,1,1,3,0.125000,0.444444
naive_k4,gaia-56,1,0,1,0.000000,0.000000
naive_k4,gaia-56,1,0,2,0.000000,0.125000
naive_k4,gaia-56,1,0,3,0.250000,0.222222
naive_k4,gaia-56,1,1,2,0.000000,0.125000
naive_k4,gaia-56,1,1,3,0.250000,0.222222
naive_k4,gaia-56,1,2,3,0.250000,0.111111
naive_k4,gaia-6,1,0,1,0.000000,0.000000
naive_k4,gaia-6,1,0,2,0.000000,0.166667
naive_k4,gaia-6,1,0,3,0.000000,0.166667
naive_k4,gaia-6,1,1,2,0.000000,0.166667
naive_k4,gaia-6,1,1,3,0.000000,0.166667
naive_k4,gaia-6,1,2,3,0.000000,0.000000
naive_k4,gaia-60,1,0,1,0.000000,0.000000
naive_k4,gaia-60,1,0,3,0.000000,0.142857
naive_k4,gaia-60,1,1,3,0.000000,0.142857
naive_k4,gaia-61,1,0,1,0.000000,0.714286
naive_k4,gaia-61,1,0,2,0.000000,0.625000
naive_k4,gaia-61,1,0,3,0.166667,0.714286
naive_k4,gaia-61,1,1,2,0.000000,0.333333
naive_k4,gaia-61,1,1,3,0.166667,0.666667
naive_k4,gaia-61,1,2,3,0.166667,0.571429
naive_k4,gaia-62,1,0,1,0.625000,0.846154
naive_k4,gaia-62,1,0,2,0.000000,0.700000
naive_k4,gaia-62,1,0,3,0.555556,0.700000
naive_k4,gaia-62,1,1,2,0.625000,0.833333
naive_k4,gaia-62,1,1,3,0.909091,0.833333
naive_k4,gaia-62,1,2,3,0.555556,0.285714
naive_k4,gaia-67,1,0,1,0.000000,0.857143
naive_k4,gaia-67,1,0,2,0.222222,0.900000
naive_k4,gaia-67,1,0,3,0.000000,0.875000
naive_k4,gaia-67,1,1,2,0.222222,0.333333
naive_k4,gaia-67,1,1,3,0.000000,0.142857
naive_k4,gaia-67,1,2,3,0.222222,0.222222
naive_k4,gaia-68,1,0,1,0.600000,0.750000
naive_k4,gaia-68,1,0,2,0.600000,0.750000
naive_k4,gaia-68,1,0,3,0.600000,0.750000
naive_k4,gaia-68,1,1,2,0.000000,0.000000
naive_k4,gaia-68,1,1,3,0.000000,0.000000
naive_k4,gaia-68,1,2,3,0.000000,0.000000
naive_k4,gaia-69,1,0,1,0.500000,0.937500
naive_k4,gaia-69,1,0,3,0.142857,1.000000
naive_k4,gaia-69,1,1,3,0.600000,0.571429
naive_k4,gaia-70,1,0,1,0.000000,0.000000
naive_k4,gaia-70,1,0,2,0.200000,0.384615
naive_k4,gaia-70,1,0,3,0.200000,0.500000
naive_k4,gaia-70,1,1,2,0.200000,0.384615
naive_k4,gaia-70,1,1,3,0.200000,0.500000
naive_k4,gaia-70,1,2,3,0.000000,0.222222
naive_k4,gaia-73,1,0,1,0.428571,0.818182
naive_k4,gaia-73,1,0,2,0.500000,0.818182
naive_k4,gaia-73,1,0,3,0.428571,0.444444
naive_k4,gaia-73,1,1,2,0.600000,0.000000
naive_k4,gaia-73,1,1,3,0.000000,0.625000
naive_k4,gaia-73,1,2,3,0.600000,0.625000
naive_k4,gaia-76,1,0,1,0.000000,0.500000
naive_k4,gaia-76,1,0,2,0.000000,0.000000
naive_k4,gaia-76,1,0,3,0.000000,0.555556
naive_k4,gaia-76,1,1,2,0.000000,0.500000
naive_k4,gaia-76,1,1,3,0.000000,0.444444
naive_k4,gaia-76,1,2,3,0.000000,0.555556
naive_k4,gaia-8,1,1,2,0.125000,0.400000
naive_k4,gaia-80,1,0,1,0.000000,0.375000
naive_k4,gaia-80,1,0,2,0.000000,0.000000
naive_k4,gaia-80,1,0,3,0.000000,0.700000
naive_k4,gaia-80,1,1,2,0.000000,0.375000
naive_k4,gaia-80,1,1,3,0.000000,0.545455
naive_k4,gaia-80,1,2,3,0.000000,0.700000
naive_k4,gaia-81,1,0,1,0.400000,1.000000
naive_k4,gaia-81,1,0,2,0.000000,0.545455
naive_k4,gaia-81,1,0,3,0.538462,0.272727
naive_k4,gaia-81,1,1,2,0.400000,1.000000
naive_k4,gaia-81,1,1,3,0.230769,0.888889
naive_k4,gaia-81,1,2,3,0.538462,0.642857
naive_k4,gaia-82,1,0,1,0.000000,0.615385
naive_k4,gaia-82,1,0,2,0.000000,0.615385
naive_k4,gaia-82,1,0,3,0.000000,0.615385
naive_k4,gaia-82,1,1,2,0.000000,0.000000
naive_k4,gaia-82,1,1,3,0.000000,0.000000
naive_k4,gaia-82,1,2,3,0.000000,0.000000
naive_k4,gaia-85,1,0,1,0.000000,0.352941
naive_k4,gaia-85,1,0,2,0.000000,0.176471
naive_k4,gaia-85,1,0,3,0.000000,0.473684
naive_k4,gaia-85,1,1,2,0.000000,0.187500
naive_k4,gaia-85,1,1,3,0.000000,0.411765
naive_k4,gaia-85,1,2,3,0.000000,0.500000
naive_k4,gaia-86,1,2,3,0.571429,0.500000
naive_k4,gaia-89,1,0,1,0.000000,0.200000
naive_k4,gaia-89,1,0,2,0.000000,0.000000
naive_k4,gaia-89,1,0,3,0.000000,0.200000
naive_k4,gaia-89,1,1,2,0.000000,0.200000
naive_k4,gaia-89,1,1,3,0.000000,0.000000
naive_k4,gaia-89,1,2,3,0.000000,0.200000
naive_k4,gaia-9,1,0,1,0.375000,0.555556
naive_k4,gaia-9,1,0,2,0.428571,0.600000
naive_k4,gaia-9,1,0,3,0.555556,0.375000
naive_k4,gaia-9,1,1,2,0.666667,0.555556
naive_k4,gaia-9,1,1,3,0.250000,0.500000
naive_k4,gaia-9,1,2,3,0.500000,0.555556
naive_k4,gaia-91,1,0,1,0.000000,0.428571
naive_k4,gaia-91,1,0,2,0.000000,0.000000
naive_k4,gaia-91,1,0,3,0.000000,0.000000
naive_k4,gaia-91,1,1,2,0.000000,0.428571
naive_k4,gaia-91,1,1,3,0.000000,0.428571
naive_k4,gaia-91,1,2,3,0.000000,0.000000
naive_k4,gaia-96,1,0,2,0.285714,0.230769
naive_k4,gaia-97,1,0,1,0.125000,0.222222
naive_k4,gaia-97,1,0,2,0.000000,0.333333
naive_k4,gaia-97,1,0,3,0.400000,0.333333
naive_k4,gaia-97,1,1,2,0.125000,0.111111
naive_k4,gaia-97,1,1,3,0.300000,0.111111
naive_k4,gaia-97,1,2,3,0.400000,0.000000
naive_k4,gaia-98,1,0,1,0.000000,0.000000
naive_k4,gaia-98,1,0,2,0.000000,0.000000
naive_k4,gaia-98,1,0,3,0.000000,0.000000
naive_k4,gaia-98,1,1,2,0.000000,0.000000
naive_k4,gaia-98,1,1,3,0.000000,0.000000
naive_k4,gaia-98,1,2,3,0.000000,0.000000
naive_k4,gaia-99,1,0,1,0.857143,0.625000
naive_k4,gaia-99,1,0,2,0.000000,0.750000
naive_k4,gaia-99,1,0,3,0.000000,0.625000
naive_k4,gaia-99,1,1,2,0.857143,0.200000
naive_k4,gaia-99,1,1,3,0.857143,0.000000
naive_k4,gaia-99,1,2,3,0.000000,0.200000
naive_k4,gaia-1,2,0,2,0.285714,0.555556
naive_k4,gaia-1,2,0,3,0.285714,0.375000
naive_k4,gaia-1,2,2,3,0.000000,0.250000
naive_k4,gaia-10,2,0,3,0.642857,0.000000
naive_k4,gaia-100,2,0,1,0.000000,0.300000
naive_k4,gaia-100,2,0,2,0.222222,0.500000
naive_k4,gaia-100,2,0,3,0.300000,0.400000
naive_k4,gaia-100,2,1,2,0.222222,0.400000
naive_k4,gaia-100,2,1,3,0.300000,0.111111
naive_k4,gaia-100,2,2,3,0.100000,0.333333
naive_k4,gaia-101,2,0,1,0.000000,0.000000
naive_k4,gaia-101,2,0,2,0.230769,0.166667
naive_k4,gaia-101,2,0,3,0.214286,0.333333
naive_k4,gaia-101,2,1,2,0.230769,0.166667
naive_k4,gaia-101,2,1,3,0.214286,0.333333
naive_k4,gaia-101,2,2,3,0.285714,0.214286
naive_k4,gaia-102,2,0,1,0.000000,0.666667
naive_k4,gaia-102,2,0,2,0.000000,0.500000
naive_k4,gaia-102,2,0,3,0.000000,0.500000
naive_k4,gaia-102,2,1,2,0.000000,0.500000
naive_k4,gaia-102,2,1,3,0.000000,0.500000
naive_k4,gaia-102,2,2,3,0.000000,0.000000
naive_k4,gaia-110,2,0,2,0.000000,0.000000
naive_k4,gaia-110,2,0,3,0.000000,0.000000
naive_k4,gaia-110,2,2,3,0.000000,0.000000
naive_k4,gaia-111,2,0,1,0.928571,1.000000
naive_k4,gaia-111,2,0,2,0.500000,0.875000
naive_k4,gaia-111,2,0,3,1.000000,1.000000
naive_k4,gaia-111,2,1,2,0.785714,0.833333
naive_k4,gaia-111,2,1,3,1.000000,0.571429
naive_k4,gaia-111,2,2,3,1.000000,0.909091
naive_k4,gaia-118,2,0,1,0.666667,0.250000
naive_k4,gaia-118,2,0,2,0.666667,0.400000
naive_k4,gaia-118,2,0,3,0.666667,0.400000
naive_k4,gaia-118,2,1,2,0.000000,0.250000
naive_k4,gaia-118,2,1,3,0.000000,0.250000
naive_k4,gaia-118,2,2,3,0.000000,0.000000
naive_k4,gaia-12,2,0,1,0.071429,0.153846
naive_k4,gaia-12,2,0,2,0.071429,0.230769
naive_k4,gaia-12,2,0,3,0.071429,0.230769
naive_k4,gaia-12,2,1,2,0.000000,0.090909
naive_k4,gaia-12,2,1,3,0.000000,0.090909
naive_k4,gaia-12,2,2,3,0.000000,0.000000
naive_k4,gaia-120,2,0,1,0.200000,0.375000
naive_k4,gaia-121,2,0,1,0.454545,0.857143
naive_k4,gaia-121,2,0,2,0.000000,0.100000
naive_k4,gaia-121,2,0,3,0.000000,0.923077
naive_k4,gaia-121,2,1,2,0.454545,0.866667
naive_k4,gaia-121,2,1,3,0.454545,1.000000
naive_k4,gaia-121,2,2,3,0.000000,0.928571
naive_k4,gaia-122,2,0,1,0.000000,0.000000
naive_k4,gaia-122,2,0,2,0.500000,0.857143
naive_k4,gaia-122,2,0,3,0.500000,0.857143
naive_k4,gaia-122,2,1,2,0.500000,0.857143
naive_k4,gaia-122,2,1,3,0.500000,0.857143
naive_k4,gaia-122,2,2,3,0.000000,0.000000
naive_k4,gaia-123,2,0,1,0.000000,0.600000
naive_k4,gaia-123,2,0,2,0.500000,0.916667
naive_k4,gaia-123,2,0,3,0.000000,0.727273
naive_k4,gaia-123,2,1,2,0.500000,0.846154
naive_k4,gaia-123,2,1,3,0.000000,0.400000
naive_k4,gaia-123,2,2,3,0.500000,0.846154
naive_k4,gaia-124,2,0,1,0.600000,0.000000
naive_k4,gaia-124,2,0,2,0.000000,0.000000
naive_k4,gaia-124,2,1,2,0.600000,0.000000
naive_k4,gaia-125,2,0,1,0.428571,0.400000
naive_k4,gaia-125,2,0,2,0.583333,0.461538
naive_k4,gaia-125,2,0,3,0.687500,0.666667
naive_k4,gaia-125,2,1,2,0.785714,0.333333
naive_k4,gaia-125,2,1,3,0.894737,0.400000
naive_k4,gaia-125,2,2,3,0.545455,0.461538
naive_k4,gaia-127,2,0,1,0.000000,0.500000
naive_k4,gaia-127,2,0,2,0.333333,0.444444
naive_k4,gaia-127,2,0,3,0.428571,0.375000
naive_k4,gaia-127,2,1,2,0.333333,0.500000
naive_k4,gaia-127,2,1,3,0.428571,0.250000
naive_k4,gaia-127,2,2,3,0.166667,0.375000
naive_k4,gaia-128,2,0,1,0.214286,0.500000
naive_k4,gaia-128,2,0,2,0.000000,0.000000
naive_k4,gaia-128,2,0,3,0.000000,0.125000
naive_k4,gaia-128,2,1,2,0.214286,0.500000
naive_k4,gaia-128,2,1,3,0.214286,0.545455
naive_k4,gaia-128,2,2,3,0.000000,0.125000
naive_k4,gaia-13,2,2,3,0.555556,0.571429
naive_k4,gaia-130,2,0,1,0.666667,0.625000
naive_k4,gaia-130,2,0,2,0.000000,0.727273
naive_k4,gaia-130,2,0,3,0.666667,0.750000
naive_k4,gaia-130,2,1,2,0.666667,0.916667
naive_k4,gaia-130,2,1,3,0.400000,0.200000
naive_k4,gaia-130,2,2,3,0.666667,0.909091
naive_k4,gaia-134,2,0,1,0.000000,0.941176
naive_k4,gaia-134,2,0,2,0.000000,0.000000
naive_k4,gaia-134,2,0,3,0.000000,0.000000
naive_k4,gaia-134,2,1,2,0.000000,0.941176
naive_k4,gaia-134,2,1,3,0.000000,0.941176
naive_k4,gaia-134,2,2,3,0.000000,0.000000
naive_k4,gaia-136,2,0,1,0.500000,0.000000
naive_k4,gaia-136,2,0,2,0.400000,0.500000
naive_k4,gaia-136,2,0,3,0.400000,0.571429
naive_k4,gaia-136,2,1,2,0.714286,0.500000
naive_k4,gaia-136,2,1,3,0.714286,0.571429
naive_k4,gaia-136,2,2,3,0.000000,0.200000
naive_k4,gaia-139,2,0,1,0.250000,0.600000
naive_k4,gaia-139,2,0,2,0.250000,0.600000
naive_k4,gaia-139,2,0,3,0.250000,0.600000
naive_k4,gaia-139,2,1,2,0.000000,0.000000
naive_k4,gaia-139,2,1,3,0.000000,0.000000
naive_k4,gaia-139,2,2,3,0.000000,0.000000
naive_k4,gaia-141,2,0,1,0.000000,0.000000
naive_k4,gaia-141,2,0,2,0.000000,0.000000
naive_k4,gaia-141,2,0,3,0.000000,0.625000
naive_k4,gaia-141,2,1,2,0.000000,0.000000
naive_k4,gaia-141,2,1,3,0.000000,0.625000
naive_k4,gaia-141,2,2,3,0.000000,0.625000
naive_k4,gaia-145,2,1,2,0.375000,0.000000
naive_k4,gaia-145,2,1,3,0.555556,0.166667
naive_k4,gaia-145,2,2,3,0.285714,0.166667
naive_k4,gaia-15,2,0,1,0.000000,0.000000
naive_k4,gaia-15,2,0,2,0.000000,0.250000
naive_k4,gaia-15,2,0,3,0.000000,0.000000
naive_k4,gaia-15,2,1,2,0.000000,0.250000
naive_k4,gaia-15,2,1,3,0.000000,0.000000
naive_k4,gaia-15,2,2,3,0.000000,0.250000
naive_k4,gaia-150,2,0,2,0.181818,0.090909
naive_k4,gaia-150,2,0,3,0.100000,0.166667
naive_k4,gaia-150,2,2,3,0.090909,0.230769
naive_k4,gaia-151,2,0,1,0.000000,0.000000
naive_k4,gaia-151,2,0,2,0.600000,0.000000
naive_k4,gaia-151,2,0,3,0.250000,0.625000
naive_k4,gaia-151,2,1,2,0.600000,0.000000
naive_k4,gaia-151,2,1,3,0.250000,0.625000
naive_k4,gaia-151,2,2,3,0.600000,0.625000
naive_k4,gaia-153,2,1,2,0.000000,0.800000
naive_k4,gaia-153,2,1,3,0.400000,0.750000
naive_k4,gaia-153,2,2,3,0.400000,0.666667
