question_id,temperature,k_threads,n_non_empty,qpd_jaccard,q1,q2,q3,q4
gaia-102,1.0,4,4,0.250000,Michael Jackson sixth studio album fifth single,Michael Jackson fifth single from sixth studio album,Michael Jackson sixth studio album and its fifth single,King of Pop sixth studio album fifth single details
gaia-102,1.5,4,4,0.319444,Michael Jackson sixth studio album fifth single details,Michael Jackson sixth studio album fifth single lyrics,King of Pop sixth studio album fifth single,Michael Jackson sixth studio album fifth single
gaia-102,2.0,4,0,,,,,
gaia-110,0.0,4,4,0.000000,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog
gaia-110,0.3,4,4,0.000000,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog
gaia-110,0.7,4,4,0.000000,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog
gaia-110,1.0,4,4,0.379630,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog bug fix for predictor base command,Scikit-Learn July 2017 changelog bug fixes
gaia-110,1.5,4,4,0.316468,Scikit-Learn July 2017 changelog,Scikit-Learn July 2017 changelog predictors bug fix,Scikit-Learn July 2017 changelog bug fixes,Scikit-Learn July 2017 changelog
gaia-110,2.0,4,1,,,,,"""Scikit-Learn July 2017 changelog bug fix predictor base command"""
gaia-111,0.0,4,4,0.000000,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90
gaia-111,0.3,4,4,0.480556,distance from Los Angeles to Augusta Maine and recycling refund amount per water bottle,distance from Los Angeles to Cincinnati via I-40 and distance from Cincinnati to Augusta via I-90,distance from Los Angeles to Cincinnati and from Cincinnati to Augusta,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90
gaia-111,0.7,4,4,0.000000,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90,distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90
gaia-111,1.0,4,4,0.406481,distance from Los Angeles to Cincinnati on I-40 and from Cincinnati to Augusta on I-90,total distance from Los Angeles to Augusta via I-40 and I-90,"distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90, refund value for recycled water bottles in the U.S.",distance from Los Angeles to Cincinnati via I-40 and from Cincinnati to Augusta via I-90
gaia-111,1.5,4,3,0.933333,distance from Los Angeles to Augusta Maine via I-40 and I-90,"""distance from Los Angeles to Augusta""",,recycling water bottles refund amount Wikipedia
gaia-111,2.0,4,0,,,,,
gaia-112,0.0,4,4,0.000000,actor who played Ray in Polish version of Everybody Loves Raymond,actor who played Ray in Polish version of Everybody Loves Raymond,actor who played Ray in Polish version of Everybody Loves Raymond,actor who played Ray in Polish version of Everybody Loves Raymond
gaia-112,0.3,4,4,0.360140,actor who played Ray in Polish version of Everybody Loves Raymond,actor who played Ray in Polish version of Everybody Loves Raymond and character in Magda M.,actor who played Ray in Polish version of Everybody Loves Raymond,Polish-language version of Everybody Loves Raymond cast Ray
gaia-112,0.7,4,4,0.544343,actor who played Ray in Polish Everybody Loves Raymond and role in Magda M.,Polish version of Everybody Loves Raymond cast,Polish-language version of Everybody Loves Raymond cast,Polish-language version of Everybody Loves Raymond actor who played Ray
gaia-112,1.0,4,4,0.287542,Polish-language version of Everybody Loves Raymond Ray actor played in Magda M.,actor who played Ray in Polish version of Everybody Loves Raymond,actor who played Ray in the Polish-language version of Everybody Loves Raymond,actor who played Ray in Polish version of Everybody Loves Raymond and role in Magda M.
gaia-112,1.5,4,4,0.258333,Polish-language version of Everybody Loves Raymond voice actor Ray,actor who played Ray in Polish version of Everybody Loves Raymond,actor who played Ray in Polish version of Everybody Loves Raymond,actor who played Ray in Polish Everybody Loves Raymond
gaia-112,2.0,4,0,,,,,
gaia-117,0.0,4,4,0.000000,book with doi 10.1353/book.24372 chapter 2 endopsychic myths author,book with doi 10.1353/book.24372 chapter 2 endopsychic myths author,book with doi 10.1353/book.24372 chapter 2 endopsychic myths author,book with doi 10.1353/book.24372 chapter 2 endopsychic myths author
gaia-117,0.3,4,4,0.696429,book with doi 10.1353/book.24372 chapter 2 endopsychic myths author,book with doi 10.1353/book.24372,book with doi 10.1353/book.24372,"author influenced neurologist belief in ""endopsychic myths"" site:doi.org/10.1353/book.24372"
gaia-117,0.7,4,4,0.541667,10.1353/book.24372 chapter 2 author endopsychic myths,book with doi 10.1353/book.24372,book with doi 10.1353/book.24372,book DOI 10.1353/book.24372 chapter 2 author endopsychic myths
gaia-117,1.0,4,4,0.679594,book with doi 10.1353/book.24372,book with doi 10.1353/book.24372 chapter 2 endopsychic myths author,DOI 10.1353/book.24372 chapter 2 author influenced neurologist endopsychic myths,"chapter 2 author influenced neurologist ""endopsychic myths"" site:doi.org"
gaia-117,1.5,4,4,0.428571,book doi 10.1353/book.24372,10.1353/book.24372 past publications and summary content,book with DOI 10.1353/book.24372,book with doi 10.1353/book.24372
gaia-117,2.0,4,0,,,,,
gaia-118,0.0,4,4,0.000000,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island
gaia-118,0.3,4,4,0.000000,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island
gaia-118,0.7,4,4,0.250000,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate
gaia-118,1.0,4,4,0.000000,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island
gaia-118,1.5,4,4,0.250000,longest-lived vertebrate named after an island,longest-lived vertebrate name and associated island,longest-lived vertebrate named after an island,longest-lived vertebrate named after an island
gaia-118,2.0,4,0,,,,,
gaia-12,0.0,4,4,0.099747,SPFMV SPCSV virus testing chemicals EC numbers 2016 Pearl of Africa,EC numbers of chemicals used in virus testing SPFMV SPCSV Pearl Of Africa 2016,SPFMV SPCSV virus testing chemicals EC numbers 2016 Pearl Of Africa,EC numbers of chemicals used for virus testing in SPFMV and SPCSV 2016 paper Pearl Of Africa
gaia-12,0.3,4,4,0.249242,SPFMV SPCSV virus testing chemicals EC numbers 2016 paper Pearl of Africa,SPFMV SPCSV Pearl Of Africa 2016 paper chemicals virus testing,SPFMV SPCSV virus testing method paper 2016 Pearl Of Africa,SPFMV SPCSV virus testing chemicals EC numbers Pearl of Africa 2016
gaia-12,0.7,4,4,0.305264,SPFMV SPCSV virus testing chemicals EC numbers 2016 Pearl Of Africa,SPFMV SPCSV virus testing method chemicals EC numbers 2016 paper,SPFMV SPCSV Pearl of Africa 2016 paper chemicals for virus testing,EC numbers of chemicals used for virus testing in SPFMV and SPCSV Pearl Of Africa 2016
gaia-12,1.0,4,4,0.445818,SPFMV SPCSV Pearl Of Africa 2016 virus testing chemicals EC numbers,SPFMV SPCSV virus testing chemicals EC numbers site:pubmed.ncbi.nlm.nih.gov,EC numbers of chemicals used for virus testing SPFMV SPCSV Pearl Of Africa 2016,SPFMV SPCSV virus testing method site:researchgate.net OR site:pubmed.ncbi.nlm.nih.gov 2016
gaia-12,1.5,4,4,0.211111,SPFMV and SPCSV pearl of Africa 2016 virus testing method chemicals,SPFMV SPCSV virus testing chemicals EC numbers 2016 Paper Pearl of Africa,SPFMV SPCSV Pearl Of Africa 2016 virus testing method chemicals paper,SPFMV SPCSV virus testing paper chemicals 2016 EC numbers Pearl of Africa
gaia-12,2.0,4,0,,,,,
gaia-120,0.0,4,4,0.000000,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature
gaia-120,0.3,4,4,0.150000,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature
gaia-120,0.7,4,4,0.288811,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 features bubble size significance
gaia-120,1.0,4,4,0.090909,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 features largest bubble,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature
gaia-120,1.5,4,4,0.257143,DeepFruits fruit detection graph Connected Papers 2016,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection graph Connected Papers 2016 largest bubble feature,DeepFruits fruit detection Connected Papers 2016
gaia-120,2.0,4,0,,,,,
gaia-121,0.0,4,4,0.000000,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 city lights
gaia-121,0.3,4,4,0.000000,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 city lights
gaia-121,0.7,4,4,0.125000,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015,NASA Astronomy Picture of the Day August 2015 city lights
gaia-121,1.0,4,4,0.216667,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015,NASA Astronomy Picture of the Day August 2015 city lights,NASA Astronomy Picture of the Day August 2015 first week city lights
gaia-121,1.5,4,4,0.190476,NASA Astronomy Picture of the Day August 2015,NASA Astronomy Pictures of the Day August 2015,NASA Astronomy Picture of the Day August 2015,NASA Astronomy Pictures of the Day August 2015
gaia-121,2.0,4,0,,,,,
gaia-122,0.0,4,4,0.000000,number of layers in BERT base encoder and Attention is All You Need encoder,number of layers in BERT base encoder and Attention is All You Need encoder,number of layers in BERT base encoder and Attention is All You Need encoder,number of layers in BERT base encoder and Attention is All You Need encoder
gaia-122,0.3,4,4,0.150794,number of layers in BERT base encoder and Attention is All You Need architecture,number of layers in BERT base encoder,number of layers in BERT base encoder and Attention is All You Need encoder,number of layers in BERT base encoder and Attention is All You Need encoder
gaia-122,0.7,4,4,0.083333,BERT base encoder number of layers,number of layers in BERT base encoder and Attention is All You Need encoder,number of layers in BERT base encoder,number of layers in BERT base encoder
gaia-122,1.0,4,4,0.111111,BERT base encoder layers number,number of layers in BERT base encoder and Attention is All You Need encoder,number of layers in BERT base encoder and Attention is All You Need encoder,number of layers in BERT base encoder
gaia-122,1.5,4,4,0.489989,how many layers in BERT base and Attention is All You Need,number of layers in BERT base architecture and Attention is All You Need architecture,BERT base architecture blocks and layers count compared to Attention is All You Need,number of layers in BERT base encoder vs Attention is All You Need encoder
gaia-122,2.0,4,0,,,,,
gaia-123,0.0,4,4,0.000000,optimal strategy for guessing coins in boxes with constraints,optimal strategy for guessing coins in boxes with constraints,optimal strategy for guessing coins in boxes with constraints,optimal strategy for guessing coins in boxes with constraints
gaia-123,0.3,4,4,0.748291,optimal coin distribution strategy for game show with constraints,possible distributions of 30 coins in 3 boxes with given conditions,possible distributions of 30 coins in 3 boxes with constraints,optimal strategy for guessing coins in boxes with constraints
gaia-123,0.7,4,4,0.671904,optimal distribution of coins in three boxes with given constraints,optimal distribution of 30 coins in 3 boxes given specific constraints,optimal strategies for guessing in a game with coin distribution constraints,optimal strategy for guessing coin distribution in game show
gaia-123,1.0,4,4,0.784815,optimal strategy for guessing coins in three boxes with specific constraints,calculate minimum winnings for Bob in game show with coin distribution restrictions,optimal strategy game theory coin distribution problem,optimal strategy three prize boxes coin distribution
gaia-123,1.5,4,1,,optimal coin distribution strategy Monte Carlo 30 coins,,,
gaia-123,2.0,4,0,,,,,
gaia-124,0.0,4,0,,,,,
gaia-124,0.3,4,0,,,,,
gaia-124,0.7,4,0,,,,,
gaia-124,1.0,4,0,,,,,
gaia-124,1.5,4,0,,,,,
gaia-124,2.0,4,0,,,,,
gaia-125,0.0,4,4,0.000000,list of United States secretaries of homeland security prior to April 2019,list of United States secretaries of homeland security prior to April 2019,list of United States secretaries of homeland security prior to April 2019,list of United States secretaries of homeland security prior to April 2019
gaia-125,0.3,4,4,0.255219,list of United States Secretaries of Homeland Security before April 2019,list of United States secretaries of homeland security prior to April 2019,list of United States secretaries of homeland security and their educational backgrounds,list of United States Secretaries of Homeland Security prior to April 2019
gaia-125,0.7,4,4,0.488747,list of United States secretaries of homeland security prior to April 2019,list of United States secretaries of homeland security and their educational background,list of United States secretaries of homeland security before April 2019 and their educational backgrounds,United States Secretary of Homeland Security list and their bachelor's degree universities
gaia-125,1.0,4,4,0.471306,list of United States secretaries of homeland security and their educational background,list of United States Secretaries of Homeland Security prior to April 2019,United States secretary of homeland security list of individuals prior to April 2019 with education background,United States secretaries of homeland security education background
gaia-125,1.5,4,4,0.606692,list of US secretaries of homeland security and their universities before April 2019,formal U.S. secretaries of homeland security prior to April 2019 complete list degrees and universities attended,list of United States Secretary of Homeland Security prior to April 2019,list of United States Secretaries of Homeland Security and their education
gaia-125,2.0,4,0,,,,,
gaia-127,0.0,4,4,0.496843,𒐜 𒐐𒐚 cuneiform number conversion to Arabic numerals,meaning of cuneiform symbols 𒐜 and 𒐐𒐚,meaning of cuneiform symbols 𒐜 and 𒐐𒐚 in Mesopotamian number system,𒐜 𒐐𒐚 cuneiform number conversion to Arabic numerals
gaia-127,0.3,4,4,0.696789,convert Sumerian cuneiform numbers to Arabic numerals,convert Mesopotamian cuneiform numbers to Arabic numerals,cuneiform symbols 𒐜 𒐐𒐚 meaning and value in Babylonian number system,cuneiform symbols 𒐜 𒐐𒐚 meaning and conversion to Arabic numerals
gaia-127,0.7,4,4,0.375902,Sumerian cuneiform symbols 𒐜 𒐐𒐚 numerical values,cuneiform symbols 𒐜 𒐐𒐚 Babylonian number system decimal equivalent,Sumerian cuneiform symbols 𒐜 𒐐𒐚 numerical values,values of Sumerian cuneiform symbols 𒐜 𒐐𒐚
gaia-127,1.0,4,4,0.437500,Sumerian cuneiform numbers 𒐜 𒐐𒐚,convert cuneiform numbers to Arabic numerals,convert Sumerian cuneiform 𒐜 𒐐𒐚 to Arabic numerals,convert Sumerian cuneiform numbers to Arabic numerals 𒐜 𒐐𒐚
gaia-127,1.5,4,4,0.567989,Mesopotamian cuneiform numerals 𒐜 𒐐𒐚 conversion to Arabic numerals,convert Mesopotamian/Babylonian cuneiform numbers to Arabic numerals,how to convert Sumerian cuneiform numbers to Arabic numerals,conversion of Sumerian cuneiform symbols to Arabic numerals
gaia-127,2.0,4,0,,,,,
gaia-128,0.0,4,4,0.400000,federal rules site:law.cornell.edu,Cornell Law School legal information institute federal rules witnesses,federal rules site:law.cornell.edu,federal rules site:law.cornell.edu
gaia-128,0.3,4,4,0.125000,federal rules site:law.cornell.edu,"federal rules site:law.cornell.edu ""witnesses""",federal rules site:law.cornell.edu,federal rules site:law.cornell.edu
gaia-128,0.7,4,4,0.583333,Cornell Law School legal information institute federal rules amendments witnesses 2021,federal rules site:law.cornell.edu,Cornell Law School Legal Information Institute federal rules witnesses amendment 2021,federal rules site:law.cornell.edu
gaia-128,1.0,4,4,0.658883,"Cornell Law School legal information institute federal rules witnesses ""last amendment""",Cornell Law School Legal Information Institute federal rules witnesses,last amendment federal rules witnesses site:law.cornell.edu,federal rules alphabetically site:law.cornell.edu
gaia-128,1.5,4,4,0.714675,determine the last amendment to the first rule regarding 'witnesses' on Cornell Law School Legal Information Institute,site:law.cornell.edu federal rules witnesses past amendments keyword deleted changes 2021,"Cornell Law School Legal Information Institute federal rules amendments ""witnesses""",Cornell Law School Legal Information Institute federal rules witnesses amendment revisions 2021
gaia-128,2.0,4,0,,,,,
gaia-13,0.0,4,4,0.500000,Prime Minister of Iran in April 1977,first place mentioned in the Book of Esther NIV,first place mentioned in the Book of Esther NIV,first place mentioned in the Book of Esther NIV
gaia-13,0.3,4,4,0.722222,first place mentioned in the Book of Esther New International Version,Who was the Prime Minister of Iran in April 1977?,Prime Minister of Iran in April 1977,first place mentioned in the Book of Esther New International Version
gaia-13,0.7,4,4,0.633333,Prime Minister of Iran April 1977,first place mentioned in the Book of Esther New International Version,first place mentioned in the Book of Esther (New International Version),first place mentioned in the Book of Esther New International Version
gaia-13,1.0,4,4,0.750000,place mentioned in the Book of Esther New International Version,first place mentioned in the Book of Esther,Prime Minister of Iran in April 1977,Prime Minister of Iran in April 1977
gaia-13,1.5,4,3,0.491667,what is the first place mentioned by name in the Book of Esther NIV,first place mentioned in the Book of Esther in the New International Version,,first location mentioned in the Book of Esther NIV
gaia-13,2.0,4,0,,,,,
gaia-130,0.0,4,4,0.000000,U.S. presidents birthplaces list,U.S. presidents birthplaces list,list of U.S. presidents and their birthplaces,U.S. presidents birthplaces list
gaia-130,0.3,4,4,0.375000,U.S. presidents birthplaces list,cities in the United States where U.S. presidents were born,U.S. presidents birthplaces list,U.S. presidents birthplaces list
gaia-130,0.7,4,4,0.433333,birthplaces of U.S. presidents,U.S. presidents birthplace cities,U.S. cities where presidents were born,U.S. cities where presidents were born
gaia-130,1.0,4,4,0.333333,U.S. cities where presidents were born,list of U.S. presidents and their birthplaces,U.S. cities where presidents were born,U.S. cities where presidents were born
gaia-130,1.5,4,4,0.463889,U.S. cities where presidents were born,cities where U.S. presidents were born,birthplaces of U.S. presidents,List of U.S. presidents and their birthplaces
gaia-130,2.0,4,1,,,,,places where U.S. presidents were born city names east west
gaia-133,0.0,4,4,0.227778,Girls Who Code percentage of women in computer science change 13% from 37%,Girls Who Code women in computer science statistics 37% to 50% change duration,Girls Who Code percentage of women in computer science change 13% from 37%,percentage of women in computer science change from 37% by 13% duration Girls Who Code
gaia-133,0.3,4,4,0.193939,Girls Who Code percentage of women in computer science change from 37% to 50%,Girls Who Code percentage of women in computer science change 13% from 37%,Girls Who Code percentage of women computer scientists change 13% from 37%,Girls Who Code percentage of women in computer science change 13% from 37%
gaia-133,0.7,4,4,0.390232,Girls Who Code percentage of women computer scientists increase from 37% to 50% time duration,how long did it take for the percentage of women computer scientists to increase from 37% by 13% according to Girls Who Code,Girls Who Code percentage of women computer scientists change from 37% by 13% years,Girls Who Code percentage of women computer scientists change 13% from 37%
gaia-133,1.0,4,4,0.434557,how long did it take for the percentage of female computer scientists to change from 37% by 13% according to Girls Who Code,Girls Who Code women computer scientists percentage change 37% 13%,how long did it take for the percentage of computer scientists that were women to change by 13% from 37% site:girlswhocode.com,Girls Who Code percentage of women in computer science change 37% by 13% years
gaia-133,1.5,4,4,0.586368,how long did it take for the percent of women in computer science to change from 37% to 50% according to Girls Who Code,Girls Who Code percentage of computer scientists that are women history 37% to 50% time take,Girls Who Code women computer scientists percentage change and timeline,percent of computer scientists that are women changed over time Girls Who Code
gaia-133,2.0,4,0,,,,,
gaia-134,0.0,4,4,0.325980,Ali Khan cost-conscious TV show 2015 book recommendations James Beard Award winners,Ali Khan New Mexican staple restaurant book James Beard Award winners 2015,book title James Beard Award winners restaurant Ali Khan New Mexican staple cost-conscious TV show 2015,Ali Khan cost-conscious TV show 2015 book recommendations James Beard Award winners
gaia-134,0.3,4,4,0.283578,Ali Khan cost-conscious TV show 2015 James Beard Award winners restaurant New Mexican staple book title,book title Ali Khan New Mexican staple James Beard Award winners 2015,Ali Khan cost-conscious TV show 2015 James Beard Award winners book title,Ali Khan cost-conscious TV show 2015 book recommendations New Mexican staple James Beard Award winners
gaia-134,0.7,4,4,0.116694,book title James Beard Award winners restaurant Ali Khan New Mexican staple TV show 2015,book title two James Beard Award winners Ali Khan New Mexican staple cost-conscious TV show 2015,book title James Beard Award winners Ali Khan New Mexican staple restaurant TV show 2015,complete title book James Beard Award winners restaurant Ali Khan New Mexican staple TV show 2015
gaia-134,1.0,4,4,0.181398,book title James Beard Award winners restaurant Ali Khan New Mexican staple TV show 2015,complete title of book recommended by James Beard Award winners about restaurant Ali Khan New Mexican staple cost-conscious TV show 2015,book two James Beard Award winners Ali Khan New Mexican staple restaurant cost-conscious TV show 2015,Ali Khan cost-conscious TV show 2015 restaurant New Mexican staple James Beard Award winners
gaia-134,1.5,4,4,0.202700,Ali Khan cost-conscious TV show 2015 James Beard Award winners restaurant New Mexican staple book title,complete title of book recommended by James Beard Award winners restaurant New Mexican staple Ali Khan TV show 2015,James Beard Award winners recommend restaurant Ali Khan New Mexican staple cost-conscious TV show 2015,book title where James Beard Award winners recommend restaurant Ali Khan New Mexican staple 2015 cost-conscious show
gaia-134,2.0,4,0,,,,,
gaia-135,0.0,4,4,0.000000,US Survivor winners born in May,US Survivor winners born in May,US Survivor winners born in May,US Survivor winners born in May
gaia-135,0.3,4,4,0.449074,US Survivor winners list with birth dates,US Survivor winner born in May,US Survivor winners born in May,US Survivor winners born in May
gaia-135,0.7,4,4,0.166667,US Survivor winners born in May,US Survivor winners born in May,Survivor US winners born in May,US Survivor winner born in May
gaia-135,1.0,4,4,0.449074,US Survivor winner born in May,US Survivor winners list with birth dates,US Survivor winners born in May,US Survivor winners born in May
